Country Name,Series Name,Year,Value
Argentina,"Manufacturing, value added (% of GDP)",2014,14.77277855
Argentina,"Industry (including construction), value added (% of GDP)",2014,24.27739449
Armenia,"Services, value added (% of GDP)",2014,47.41304375
Armenia,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,18.07203635
Armenia,"Manufacturing, value added (% of GDP)",2014,9.666405536
Armenia,"Industry (including construction), value added (% of GDP)",2014,25.27053295
Aruba,"Services, value added (% of GDP)",2014,80.22864425
Aruba,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,0.014812973
Aruba,"Manufacturing, value added (% of GDP)",2014,3.439352185
Aruba,"Industry (including construction), value added (% of GDP)",2014,10.7994982
Australia,"Services, value added (% of GDP)",2014,65.61375762
Australia,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,2.220360756
Australia,"Manufacturing, value added (% of GDP)",2014,6.364900809
Australia,"Industry (including construction), value added (% of GDP)",2014,25.56612354
Austria,"Services, value added (% of GDP)",2014,62.65379327
Austria,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,1.200740564
Austria,"Manufacturing, value added (% of GDP)",2014,16.56001525
Austria,"Industry (including construction), value added (% of GDP)",2014,25.3646396
Azerbaijan,"Services, value added (% of GDP)",2014,33.61586468
Azerbaijan,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,5.319406718
Azerbaijan,"Manufacturing, value added (% of GDP)",2014,4.707010697
Azerbaijan,"Industry (including construction), value added (% of GDP)",2014,53.58685467
"Bahamas, The","Services, value added (% of GDP)",2014,79.57554606
"Bahamas, The","Agriculture, forestry, and fishing, value added (% of GDP)",2014,0.851094851
"Bahamas, The","Manufacturing, value added (% of GDP)",2014,2.68997002
"Bahamas, The","Industry (including construction), value added (% of GDP)",2014,13.3824186
Bahrain,"Services, value added (% of GDP)",2014,52.47439417
Bahrain,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,0.299909669
Bahrain,"Manufacturing, value added (% of GDP)",2014,14.92809337
Bahrain,"Industry (including construction), value added (% of GDP)",2014,46.51977333
Bangladesh,"Services, value added (% of GDP)",2014,53.63575432
Bangladesh,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,15.3516209
Bangladesh,"Manufacturing, value added (% of GDP)",2014,16.61270766
Bangladesh,"Industry (including construction), value added (% of GDP)",2014,26.31104678
Barbados,"Services, value added (% of GDP)",2014,72.78292201
Barbados,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,1.678503995
Barbados,"Manufacturing, value added (% of GDP)",2014,5.558218765
Barbados,"Industry (including construction), value added (% of GDP)",2014,13.80312651
Belarus,"Services, value added (% of GDP)",2014,45.65209298
Belarus,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,7.303391703
Belarus,"Manufacturing, value added (% of GDP)",2014,21.08738009
Belarus,"Industry (including construction), value added (% of GDP)",2014,35.37894489
Belgium,"Services, value added (% of GDP)",2014,69.16114583
Belgium,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,0.637835968
Belgium,"Manufacturing, value added (% of GDP)",2014,12.56468619
Belgium,"Industry (including construction), value added (% of GDP)",2014,19.67482648
Belize,"Services, value added (% of GDP)",2014,61.69742834
Belize,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,10.24237868
Belize,"Manufacturing, value added (% of GDP)",2014,7.099980138
Belize,"Industry (including construction), value added (% of GDP)",2014,15.90972469
Benin,"Services, value added (% of GDP)",2014,49.52855165
Benin,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,25.61845297
Benin,"Manufacturing, value added (% of GDP)",2014,10.38662818
Benin,"Industry (including construction), value added (% of GDP)",2014,16.41157749
Bermuda,"Services, value added (% of GDP)",2014,90.81535544
Bermuda,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,0.211116703
Bermuda,"Manufacturing, value added (% of GDP)",2014,0.480075734
Bermuda,"Industry (including construction), value added (% of GDP)",2014,5.004639859
Bhutan,"Services, value added (% of GDP)",2014,42.16110584
Bhutan,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,12.24995034
Bhutan,"Manufacturing, value added (% of GDP)",2014,7.523321553
Bhutan,"Industry (including construction), value added (% of GDP)",2014,38.22589143
Bolivia,"Services, value added (% of GDP)",2014,41.46535066
Bolivia,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,9.740217538
Bolivia,"Manufacturing, value added (% of GDP)",2014,9.738327963
Bolivia,"Industry (including construction), value added (% of GDP)",2014,27.62549988
Bosnia and Herzegovina,"Services, value added (% of GDP)",2014,56.78346264
Bosnia and Herzegovina,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,5.951057699
Bosnia and Herzegovina,"Manufacturing, value added (% of GDP)",2014,10.9401954
Bosnia and Herzegovina,"Industry (including construction), value added (% of GDP)",2014,22.15636982
Botswana,"Services, value added (% of GDP)",2014,53.03424397
Botswana,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,1.819598353
Botswana,"Manufacturing, value added (% of GDP)",2014,7.848786645
Botswana,"Industry (including construction), value added (% of GDP)",2014,41.7777034
Brazil,"Services, value added (% of GDP)",2014,61.25097401
Brazil,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,4.325610539
Brazil,"Manufacturing, value added (% of GDP)",2014,10.3370974
Brazil,"Industry (including construction), value added (% of GDP)",2014,20.47246275
British Virgin Islands,"Services, value added (% of GDP)",2014,
British Virgin Islands,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,
British Virgin Islands,"Manufacturing, value added (% of GDP)",2014,
British Virgin Islands,"Industry (including construction), value added (% of GDP)",2014,
Brunei Darussalam,"Services, value added (% of GDP)",2014,32.83602448
Brunei Darussalam,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,0.862737495
Brunei Darussalam,"Manufacturing, value added (% of GDP)",2014,16.12829908
Brunei Darussalam,"Industry (including construction), value added (% of GDP)",2014,67.85206522
Bulgaria,"Services, value added (% of GDP)",2014,58.72807224
Bulgaria,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,4.55871705
Bulgaria,"Manufacturing, value added (% of GDP)",2014,
Bulgaria,"Industry (including construction), value added (% of GDP)",2014,23.44430188
Burkina Faso,"Services, value added (% of GDP)",2014,42.49592913
Burkina Faso,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,23.69377277
Burkina Faso,"Manufacturing, value added (% of GDP)",2014,10.99604254
Burkina Faso,"Industry (including construction), value added (% of GDP)",2014,24.92953925
Burundi,"Services, value added (% of GDP)",2014,39.12782297
Burundi,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,34.95819234
Burundi,"Manufacturing, value added (% of GDP)",2014,10.12420983
Burundi,"Industry (including construction), value added (% of GDP)",2014,15.49821159
Cabo Verde,"Services, value added (% of GDP)",2014,67.54988614
Cabo Verde,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,5.735069239
Cabo Verde,"Manufacturing, value added (% of GDP)",2014,5.188416651
Cabo Verde,"Industry (including construction), value added (% of GDP)",2014,15.45569567
Cambodia,"Services, value added (% of GDP)",2014,39.7038516
Cambodia,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,28.87130353
Cambodia,"Manufacturing, value added (% of GDP)",2014,15.39756683
Cambodia,"Industry (including construction), value added (% of GDP)",2014,25.60686085
Cameroon,"Services, value added (% of GDP)",2014,50.42782015
Cameroon,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,16.82583818
Cameroon,"Manufacturing, value added (% of GDP)",2014,14.51402123
Cameroon,"Industry (including construction), value added (% of GDP)",2014,25.70780278
Canada,"Services, value added (% of GDP)",2014,64.90199745
Canada,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,1.586548077
Canada,"Manufacturing, value added (% of GDP)",2014,9.426150824
Canada,"Industry (including construction), value added (% of GDP)",2014,27.13794246
Cayman Islands,"Services, value added (% of GDP)",2014,87.31549368
Cayman Islands,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,0.357975839
Cayman Islands,"Manufacturing, value added (% of GDP)",2014,0.826453128
Cayman Islands,"Industry (including construction), value added (% of GDP)",2014,6.896181792
Central African Republic,"Services, value added (% of GDP)",2014,42.7402098
Central African Republic,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,33.98562172
Central African Republic,"Manufacturing, value added (% of GDP)",2014,17.44322761
Central African Republic,"Industry (including construction), value added (% of GDP)",2014,19.48260861
Chad,"Services, value added (% of GDP)",2014,31.09100729
Chad,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,25.46778054
Chad,"Manufacturing, value added (% of GDP)",2014,2.687991149
Chad,"Industry (including construction), value added (% of GDP)",2014,39.6909153
Channel Islands,"Services, value added (% of GDP)",2014,
Channel Islands,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,
Channel Islands,"Manufacturing, value added (% of GDP)",2014,
Channel Islands,"Industry (including construction), value added (% of GDP)",2014,
Chile,"Services, value added (% of GDP)",2014,57.15287588
Chile,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,3.94662063
Chile,"Manufacturing, value added (% of GDP)",2014,9.920465162
Chile,"Industry (including construction), value added (% of GDP)",2014,28.90286706
China,"Services, value added (% of GDP)",2014,48.27094049
China,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,8.643491396
China,"Manufacturing, value added (% of GDP)",2014,30.39644421
China,"Industry (including construction), value added (% of GDP)",2014,43.08556811
Colombia,"Services, value added (% of GDP)",2014,54.63407537
Colombia,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,5.446957215
Colombia,"Manufacturing, value added (% of GDP)",2014,12.26931864
Colombia,"Industry (including construction), value added (% of GDP)",2014,30.98585272
Comoros,"Services, value added (% of GDP)",2014,53.78015804
Comoros,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,30.01145051
Comoros,"Manufacturing, value added (% of GDP)",2014,
Comoros,"Industry (including construction), value added (% of GDP)",2014,11.61092478
"Congo, Dem. Rep.","Services, value added (% of GDP)",2014,31.70146247
"Congo, Dem. Rep.","Agriculture, forestry, and fishing, value added (% of GDP)",2014,18.56251731
"Congo, Dem. Rep.","Manufacturing, value added (% of GDP)",2014,15.55441347
"Congo, Dem. Rep.","Industry (including construction), value added (% of GDP)",2014,42.97984786
"Congo, Rep.","Services, value added (% of GDP)",2014,31.90108163
"Congo, Rep.","Agriculture, forestry, and fishing, value added (% of GDP)",2014,4.557656763
"Congo, Rep.","Manufacturing, value added (% of GDP)",2014,6.059907203
"Congo, Rep.","Industry (including construction), value added (% of GDP)",2014,58.00141877
Costa Rica,"Services, value added (% of GDP)",2014,66.39842142
Costa Rica,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,4.88788379
Costa Rica,"Manufacturing, value added (% of GDP)",2014,12.28790197
Costa Rica,"Industry (including construction), value added (% of GDP)",2014,20.61640542
Cote d'Ivoire,"Services, value added (% of GDP)",2014,37.3151438
Cote d'Ivoire,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,15.24175553
Cote d'Ivoire,"Manufacturing, value added (% of GDP)",2014,12.20069981
Cote d'Ivoire,"Industry (including construction), value added (% of GDP)",2014,19.84554862
Croatia,"Services, value added (% of GDP)",2014,59.43149025
Croatia,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,2.933280394
Croatia,"Manufacturing, value added (% of GDP)",2014,12.67268328
Croatia,"Industry (including construction), value added (% of GDP)",2014,20.72042587
Cuba,"Services, value added (% of GDP)",2014,72.88475391
Cuba,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,3.93770589
Cuba,"Manufacturing, value added (% of GDP)",2014,15.08751353
Cuba,"Industry (including construction), value added (% of GDP)",2014,22.15207529
Curacao,"Services, value added (% of GDP)",2014,72.06113355
Curacao,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,0.207328309
Curacao,"Manufacturing, value added (% of GDP)",2014,8.105265955
Curacao,"Industry (including construction), value added (% of GDP)",2014,16.35854869
Cyprus,"Services, value added (% of GDP)",2014,75.82738325
Cyprus,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,1.844881932
Cyprus,"Manufacturing, value added (% of GDP)",2014,4.077487821
Cyprus,"Industry (including construction), value added (% of GDP)",2014,9.972871049
Czechia,"Services, value added (% of GDP)",2014,54.19329987
Czechia,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,2.413452542
Czechia,"Manufacturing, value added (% of GDP)",2014,23.7144844
Czechia,"Industry (including construction), value added (% of GDP)",2014,33.83935076
Denmark,"Services, value added (% of GDP)",2014,65.59860768
Denmark,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,1.382462598
Denmark,"Manufacturing, value added (% of GDP)",2014,11.86020064
Denmark,"Industry (including construction), value added (% of GDP)",2014,19.78499589
Djibouti,"Services, value added (% of GDP)",2014,80.32291982
Djibouti,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,1.227403863
Djibouti,"Manufacturing, value added (% of GDP)",2014,2.782301739
Djibouti,"Industry (including construction), value added (% of GDP)",2014,11.64420336
Dominica,"Services, value added (% of GDP)",2014,59.00395684
Dominica,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,13.44900225
Dominica,"Manufacturing, value added (% of GDP)",2014,3.036664864
Dominica,"Industry (including construction), value added (% of GDP)",2014,12.49039255
Dominican Republic,"Services, value added (% of GDP)",2014,58.71957123
Dominican Republic,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,5.193456291
Dominican Republic,"Manufacturing, value added (% of GDP)",2014,14.54652718
Dominican Republic,"Industry (including construction), value added (% of GDP)",2014,29.76905868
Ecuador,"Services, value added (% of GDP)",2014,52.83419735
Ecuador,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,7.40439967
Ecuador,"Manufacturing, value added (% of GDP)",2014,13.13510004
Ecuador,"Industry (including construction), value added (% of GDP)",2014,35.71199553
"Egypt, Arab Rep.","Services, value added (% of GDP)",2014,52.32099108
"Egypt, Arab Rep.","Agriculture, forestry, and fishing, value added (% of GDP)",2014,11.33770549
"Egypt, Arab Rep.","Manufacturing, value added (% of GDP)",2014,16.77444637
"Egypt, Arab Rep.","Industry (including construction), value added (% of GDP)",2014,39.89033385
El Salvador,"Services, value added (% of GDP)",2014,59.41911535
El Salvador,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,5.866872154
El Salvador,"Manufacturing, value added (% of GDP)",2014,16.07623796
El Salvador,"Industry (including construction), value added (% of GDP)",2014,26.013534
Equatorial Guinea,"Services, value added (% of GDP)",2014,29.01926071
Equatorial Guinea,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,1.294248772
Equatorial Guinea,"Manufacturing, value added (% of GDP)",2014,20.12563307
Equatorial Guinea,"Industry (including construction), value added (% of GDP)",2014,70.19094522
Eritrea,"Services, value added (% of GDP)",2014,
Eritrea,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,
Eritrea,"Manufacturing, value added (% of GDP)",2014,
Eritrea,"Industry (including construction), value added (% of GDP)",2014,
Estonia,"Services, value added (% of GDP)",2014,59.2651689
Estonia,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,3.164269996
Estonia,"Manufacturing, value added (% of GDP)",2014,14.18209272
Estonia,"Industry (including construction), value added (% of GDP)",2014,24.77265071
Eswatini,"Services, value added (% of GDP)",2014,50.25853538
Eswatini,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,9.234248843
Eswatini,"Manufacturing, value added (% of GDP)",2014,30.64160892
Eswatini,"Industry (including construction), value added (% of GDP)",2014,35.61313955
Ethiopia,"Services, value added (% of GDP)",2014,39.8920085
Ethiopia,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,38.52044969
Ethiopia,"Manufacturing, value added (% of GDP)",2014,3.991325246
Ethiopia,"Industry (including construction), value added (% of GDP)",2014,13.47132451
Faroe Islands,"Services, value added (% of GDP)",2014,58.00865801
Faroe Islands,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,14.99254042
Faroe Islands,"Manufacturing, value added (% of GDP)",2014,6.071000563
Faroe Islands,"Industry (including construction), value added (% of GDP)",2014,15.66818304
Fiji,"Services, value added (% of GDP)",2014,55.54368064
Fiji,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,8.098522702
Fiji,"Manufacturing, value added (% of GDP)",2014,10.65411419
Fiji,"Industry (including construction), value added (% of GDP)",2014,15.01276575
Finland,"Services, value added (% of GDP)",2014,60.73553507
Finland,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,2.398294804
Finland,"Manufacturing, value added (% of GDP)",2014,14.45501868
Finland,"Industry (including construction), value added (% of GDP)",2014,23.09748329
France,"Services, value added (% of GDP)",2014,70.3461076
France,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,1.55635616
France,"Manufacturing, value added (% of GDP)",2014,10.280426
France,"Industry (including construction), value added (% of GDP)",2014,17.74593967
French Polynesia,"Services, value added (% of GDP)",2014,76.16409005
French Polynesia,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,3.177711143
French Polynesia,"Manufacturing, value added (% of GDP)",2014,4.680609266
French Polynesia,"Industry (including construction), value added (% of GDP)",2014,10.79462685
Gabon,"Services, value added (% of GDP)",2014,32.67899653
Gabon,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,3.62120477
Gabon,"Manufacturing, value added (% of GDP)",2014,17.39340587
Gabon,"Industry (including construction), value added (% of GDP)",2014,52.72224165
"Gambia, The","Services, value added (% of GDP)",2014,56.43873189
"Gambia, The","Agriculture, forestry, and fishing, value added (% of GDP)",2014,22.45883917
"Gambia, The","Manufacturing, value added (% of GDP)",2014,6.511781045
"Gambia, The","Industry (including construction), value added (% of GDP)",2014,13.21483428
Georgia,"Services, value added (% of GDP)",2014,61.14884307
Georgia,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,9.204236807
Georgia,"Manufacturing, value added (% of GDP)",2014,9.210553244
Georgia,"Industry (including construction), value added (% of GDP)",2014,18.1712887
Germany,"Services, value added (% of GDP)",2014,62.10857305
Germany,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,0.904547675
Germany,"Manufacturing, value added (% of GDP)",2014,20.22439478
Germany,"Industry (including construction), value added (% of GDP)",2014,27.01099599
Ghana,"Services, value added (% of GDP)",2014,37.41368375
Ghana,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,19.58377313
Ghana,"Manufacturing, value added (% of GDP)",2014,11.01994883
Ghana,"Industry (including construction), value added (% of GDP)",2014,33.89820305
Gibraltar,"Services, value added (% of GDP)",2014,
Gibraltar,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,
Gibraltar,"Manufacturing, value added (% of GDP)",2014,
Gibraltar,"Industry (including construction), value added (% of GDP)",2014,
Greece,"Services, value added (% of GDP)",2014,70.5923232
Greece,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,3.584133506
Greece,"Manufacturing, value added (% of GDP)",2014,7.633521312
Greece,"Industry (including construction), value added (% of GDP)",2014,14.11966778
Greenland,"Services, value added (% of GDP)",2014,63.55526299
Greenland,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,17.33559025
Greenland,"Manufacturing, value added (% of GDP)",2014,4.363989719
Greenland,"Industry (including construction), value added (% of GDP)",2014,15.6961946
Grenada,"Services, value added (% of GDP)",2014,68.27601339
Grenada,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,6.101891883
Grenada,"Manufacturing, value added (% of GDP)",2014,3.420911485
Grenada,"Industry (including construction), value added (% of GDP)",2014,12.81043786
Guam,"Services, value added (% of GDP)",2014,
Guam,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,
Guam,"Manufacturing, value added (% of GDP)",2014,
Guam,"Industry (including construction), value added (% of GDP)",2014,
Guatemala,"Services, value added (% of GDP)",2014,60.89858802
Guatemala,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,10.0744835
Guatemala,"Manufacturing, value added (% of GDP)",2014,14.07664879
Guatemala,"Industry (including construction), value added (% of GDP)",2014,23.19271653
Guinea,"Services, value added (% of GDP)",2014,43.35338786
Guinea,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,17.52381638
Guinea,"Manufacturing, value added (% of GDP)",2014,11.08249807
Guinea,"Industry (including construction), value added (% of GDP)",2014,29.69416739
Guinea-Bissau,"Services, value added (% of GDP)",2014,43.76159954
Guinea-Bissau,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,34.82580688
Guinea-Bissau,"Manufacturing, value added (% of GDP)",2014,9.343589944
Guinea-Bissau,"Industry (including construction), value added (% of GDP)",2014,14.68226939
Guyana,"Services, value added (% of GDP)",2014,44.78332504
Guyana,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,24.5940865
Guyana,"Manufacturing, value added (% of GDP)",2014,6.046221801
Guyana,"Industry (including construction), value added (% of GDP)",2014,24.39212723
Haiti,"Services, value added (% of GDP)",2014,51.81255766
Haiti,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,17.82976365
Haiti,"Manufacturing, value added (% of GDP)",2014,16.62121864
Haiti,"Industry (including construction), value added (% of GDP)",2014,26.56062976
Honduras,"Services, value added (% of GDP)",2014,60.15394318
Honduras,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,12.53835013
Honduras,"Manufacturing, value added (% of GDP)",2014,17.25458749
Honduras,"Industry (including construction), value added (% of GDP)",2014,24.5107788
"Hong Kong SAR, China","Services, value added (% of GDP)",2014,90.47546355
"Hong Kong SAR, China","Agriculture, forestry, and fishing, value added (% of GDP)",2014,0.066194544
"Hong Kong SAR, China","Manufacturing, value added (% of GDP)",2014,1.233846828
"Hong Kong SAR, China","Industry (including construction), value added (% of GDP)",2014,7.067506488
Hungary,"Services, value added (% of GDP)",2014,54.86956491
Hungary,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,3.936041861
Hungary,"Manufacturing, value added (% of GDP)",2014,19.43822879
Hungary,"Industry (including construction), value added (% of GDP)",2014,25.69053886
Iceland,"Services, value added (% of GDP)",2014,63.63395941
Iceland,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,5.267170701
Iceland,"Manufacturing, value added (% of GDP)",2014,11.39935005
Iceland,"Industry (including construction), value added (% of GDP)",2014,20.77706596
India,"Services, value added (% of GDP)",2014,47.82241376
India,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,16.79193451
India,"Manufacturing, value added (% of GDP)",2014,15.06557011
India,"Industry (including construction), value added (% of GDP)",2014,27.6564012
Indonesia,"Services, value added (% of GDP)",2014,42.24218531
Indonesia,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,13.336755
Indonesia,"Manufacturing, value added (% of GDP)",2014,21.07517605
Indonesia,"Industry (including construction), value added (% of GDP)",2014,41.92834213
"Iran, Islamic Rep.","Services, value added (% of GDP)",2014,49.35569024
"Iran, Islamic Rep.","Agriculture, forestry, and fishing, value added (% of GDP)",2014,9.378424157
"Iran, Islamic Rep.","Manufacturing, value added (% of GDP)",2014,15.58475562
"Iran, Islamic Rep.","Industry (including construction), value added (% of GDP)",2014,39.22822805
Iraq,"Services, value added (% of GDP)",2014,40.11223305
Iraq,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,4.929407772
Iraq,"Manufacturing, value added (% of GDP)",2014,1.877063816
Iraq,"Industry (including construction), value added (% of GDP)",2014,55.30759638
Ireland,"Services, value added (% of GDP)",2014,65.83300539
Ireland,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,1.240683756
Ireland,"Manufacturing, value added (% of GDP)",2014,19.68654239
Ireland,"Industry (including construction), value added (% of GDP)",2014,24.45314489
Isle of Man,"Services, value added (% of GDP)",2014,93.70987301
Isle of Man,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,0.446094369
Isle of Man,"Manufacturing, value added (% of GDP)",2014,2.654664939
Isle of Man,"Industry (including construction), value added (% of GDP)",2014,8.257548735
Israel,"Services, value added (% of GDP)",2014,68.19957285
Israel,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,1.388176456
Israel,"Manufacturing, value added (% of GDP)",2014,12.36261422
Israel,"Industry (including construction), value added (% of GDP)",2014,19.82426555
Italy,"Services, value added (% of GDP)",2014,67.08570377
Italy,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,1.99786089
Italy,"Manufacturing, value added (% of GDP)",2014,13.97623924
Italy,"Industry (including construction), value added (% of GDP)",2014,20.79842911
Jamaica,"Services, value added (% of GDP)",2014,63.6371419
Jamaica,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,5.972489839
Jamaica,"Manufacturing, value added (% of GDP)",2014,8.128721457
Jamaica,"Industry (including construction), value added (% of GDP)",2014,18.3652279
Japan,"Services, value added (% of GDP)",2014,70.88402135
Japan,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,0.9966057
Japan,"Manufacturing, value added (% of GDP)",2014,19.59360923
Japan,"Industry (including construction), value added (% of GDP)",2014,27.31362673
Jordan,"Services, value added (% of GDP)",2014,60.08831631
Jordan,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,3.968444574
Jordan,"Manufacturing, value added (% of GDP)",2014,18.84793833
Jordan,"Industry (including construction), value added (% of GDP)",2014,25.50879656
Kazakhstan,"Services, value added (% of GDP)",2014,54.83859647
Kazakhstan,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,4.329552462
Kazakhstan,"Manufacturing, value added (% of GDP)",2014,10.31824363
Kazakhstan,"Industry (including construction), value added (% of GDP)",2014,33.20942583
Kenya,"Services, value added (% of GDP)",2014,56.95484636
Kenya,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,18.34783934
Kenya,"Manufacturing, value added (% of GDP)",2014,10.06503343
Kenya,"Industry (including construction), value added (% of GDP)",2014,19.0360328
Kiribati,"Services, value added (% of GDP)",2014,
Kiribati,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,
